No,ParentOrder,ParentId,Step,Class,Exponent,CenterSize,DerivedLength,NrConjClasses,HasC2DirectFactor,Code,Order,DerivedSize,Involutions,m,r,IsSpecial,Source,SourceID,Family,WignerS2,WignerS3
101,256,56092,2,2,4,4,2,289,false,20302255367703861079933408248368,1024,4,239,8,2,true,class2_special,6,R220,295936,94633984
102,256,56092,2,2,4,4,2,289,false,21288457724445443576957616155690795571,1024,4,143,8,2,true,class2_special,7,R220,295936,94633984
103,256,56092,2,2,4,4,2,280,false,58047365737232648204452352,1024,4,383,8,2,true,class2_special,8,R211,286720,87556096
104,256,56092,2,2,4,4,2,280,false,60867074575044131444772348887744,1024,4,191,8,2,true,class2_special,9,R211,286720,87556096
105,256,56092,2,2,4,4,2,280,false,63823753589601474896574214703195095792,1024,4,255,8,2,true,class2_special,10,R211,286720,87556096
106,256,56092,2,2,4,4,2,280,false,60867074575025666686300129853955,1024,4,255,8,2,true,class2_special,11,R211,286720,87556096
107,256,56092,2,2,4,4,2,280,false,63823753589601474915038973175414129347,1024,4,191,8,2,true,class2_special,12,R211,286720,87556096
108,256,56092,2,2,4,4,2,280,false,66924056243969956141149944961980168813937395,1024,4,383,8,2,true,class2_special,13,R211,286720,87556096
109,256,56092,2,2,4,4,2,280,false,39633461867660920192204015104,1024,4,383,8,2,true,class2_special,14,S1S1R1,286720,87556096
110,256,56092,2,2,4,4,2,280,false,41558696911344140359588110089061894,1024,4,383,8,2,true,class2_special,15,S1S1R1,286720,87556096
111,256,56092,2,2,4,4,2,280,false,42556105637216399727966278264532502023,1024,4,255,8,2,true,class2_special,16,S1S1R1,286720,87556096
112,256,56092,2,2,4,4,2,280,false,42556105637216399727948263866023020039,1024,4,191,8,2,true,class2_special,17,S1S1R1,286720,87556096
113,256,56092,2,2,4,4,2,280,false,41558696911344158806332183798613696,1024,4,255,8,2,true,class2_special,18,S1S1R1,286720,87556096
114,64,267,4,2,4,16,2,220,false,19380665976789056626888192,1024,16,431,6,4,true,class2_special,19,m6r4_polar1_q1,225280,84410368
115,64,267,4,2,4,16,2,220,false,20809831636289485892934997557382670,1024,16,431,6,4,true,class2_special,20,m6r4_polar1_q2,225280,84410368
116,64,267,4,2,4,16,2,220,false,21309267595560433554508990286634421775,1024,16,47,6,4,true,class2_special,21,m6r4_polar1_q3,225280,84410368
117,64,267,4,2,4,16,2,220,false,20322101207295450139861826145840,1024,16,143,6,4,true,class2_special,22,m6r4_polar1_q4,225280,84410368
118,64,267,4,2,4,16,2,220,false,21820690017834018777338859454536427245118,1024,16,143,6,4,true,class2_special,23,m6r4_polar1_q5,225280,84410368
119,64,267,4,2,4,16,2,220,false,22344386578262035227994992224998089373519423,1024,16,15,6,4,true,class2_special,24,m6r4_polar1_q6,225280,84410368
120,64,267,4,2,4,16,2,160,false,21841936795167114654402214740962999283201,1024,16,351,6,4,true,class2_special,25,m6r4_polar2_q1,163840,46661632
121,64,267,4,2,4,16,2,160,false,21841936795167114654402178712165980319240,1024,16,351,6,4,true,class2_special,26,m6r4_polar2_q2,163840,46661632
122,64,267,4,2,4,16,2,160,false,22902930716929152415854418982352708165654818329,1024,16,95,6,4,true,class2_special,27,m6r4_polar2_q3,163840,46661632
123,64,267,4,2,4,16,2,160,false,24015463479434702923606943412323860815310517618093599,1024,16,95,6,4,true,class2_special,28,m6r4_polar2_q4,163840,46661632
124,64,267,4,2,4,16,2,160,false,22902930716929152415854400129744236037474102822,1024,16,351,6,4,true,class2_special,29,m6r4_polar2_q5,163840,46661632
125,64,267,4,2,4,16,2,160,false,23452601054135452073834905732858115707914482363943,1024,16,95,6,4,true,class2_special,30,m6r4_polar2_q6,163840,46661632
126,64,267,4,2,4,16,2,160,false,24015463479434702923606943431685655592767634523041327,1024,16,31,6,4,true,class2_special,31,m6r4_polar2_q7,163840,46661632
127,64,267,4,2,4,16,2,160,false,45694270489220670421633614332168175212108723718,1024,16,351,6,4,true,class2_special,32,m6r4_polar3_q1,163840,46661632
128,64,267,4,2,4,16,2,160,false,49063849341445174997027726072985393101808833992229926431,1024,16,31,6,4,true,class2_special,33,m6r4_polar3_q2,163840,46661632
129,64,267,4,2,4,16,2,160,false,47913915372505053708034888723806929550891728510400027,1024,16,351,6,4,true,class2_special,34,m6r4_polar3_q3,163840,46661632
130,64,267,4,2,4,16,2,160,false,47913915372505053708034888723806948033664599238915613,1024,16,95,6,4,true,class2_special,35,m6r4_polar3_q4,163840,46661632
131,64,267,4,2,4,16,2,160,false,47913915372505053708034888743149742520610607229842987,1024,16,351,6,4,true,class2_special,36,m6r4_polar3_q5,163840,46661632
132,64,267,4,2,4,16,2,160,false,47913915372505053708034888743149779450127551667910187,1024,16,95,6,4,true,class2_special,37,m6r4_polar3_q6,163840,46661632
133,64,267,4,2,4,16,2,196,false,21309226892091903998486711827514525184,1024,16,399,6,4,true,class2_special,38,m6r4_polar4_q1,200704,67108864
134,64,267,4,2,4,16,2,196,false,22344343897602160327117276245243837981918726,1024,16,399,6,4,true,class2_special,39,m6r4_polar4_q2,200704,67108864
