Order,SmallGroup_ID,StructureDescription,CenterSize
1536,230951572,"C2 x C2 x (C3 : ((C4 x C4) : Q8))",32
1536,232512786,"C3 : ((((((C4 x C2) : C4) : C2) : C2) : C2) : C2)",8
1536,232513548,"C3 : (((((C2 x C2 x C2) . (C2 x C2 x C2)) : C2) : C2) : C2)",8
1536,232527918,"C3 : ((((((C4 x C2) : C4) : C2) : C2) : C2) : C2)",8
1536,232540534,"C3 : (((((C4 x C4) : C4) : C2) : C2) : C2)",8
1536,232540544,"C3 : (((((C4 x C4) : C4) : C2) : C2) : C2)",8
1536,232540555,"C3 : (((((C4 x C4) : C4) : C2) : C2) : C2)",8
1536,232540602,"C3 : ((((C2 x C2) . (C2 x C2 x C2)) : Q8) : C2)",8
1536,232540695,"C3 : (((((C4 x C4) : C4) : C2) : C2) : C2)",8
1536,233808489,"D8 x D8 x D24",8
1536,233808498,"D8 x D8 x (C3 : Q8)",8
1536,233808500,"Q8 x D8 x D24",8
1536,233809963,"Q8 x D8 x (C3 : Q8)",8
1536,233809966,"Q8 x Q8 x D24",8
1536,233830471,"Q8 x Q8 x (C3 : Q8)",8
1536,408131059,"C2 x C2 x ((((C4 x C4) : C2) : C2) x S3)",8
1536,408131130,"C2 x (((C2 x (C8 : (C2 x C2))) : C2) x S3)",8
1536,408131291,"((C2 x (((C4 x C4) : C2) : C2)) : C2) x S3",2
1536,408131293,"C2 x (C3 : ((C2 x (((C4 x C4) : C2) : C2)) : C2))",4
1536,408131365,"((((C8 : (C2 x C2)) : C2) : C2) : C2) x S3",2
1536,408131367,"C2 x (C3 : ((((C8 : (C2 x C2)) : C2) : C2) : C2))",4
1536,408131485,"C3 : ((C2 x ((C2 x (C8 : (C2 x C2))) : C2)) : C2)",4
1536,408131544,"C3 : ((((C2 x (C8 : (C2 x C2))) : C2) : C2) : C2)",4
1536,408131631,"C2 x C2 x ((((C2 x Q8) : C2) : C2) x S3)",8
1536,408131664,"C2 x (((C2 x ((C2 x Q8) : C2)) : C2) x S3)",8
1536,408131703,"C2 x C2 x ((((C2 x C2 x C2 x C2) : C2) : C2) x S3)",8
