Order, SmallGroup_ID, StructureDescription, CenterSize
512,7645737,"(((C2 x (C4 : Q8)) : C2) : C2) : C2",8
512,7646520,"((((C4 x C4 x C2) : C2) : C2) : C2) : C2",8
512,7646542,"((((C4 : C4) : C4) : C2) : C2) : C2",8
512,7646585,"((((C2 x Q8) : C4) : C2) : C2) : C2",8
512,8840079,"((((C2 x ((C4 x C2) : C2)) : C2) : C2) : C2) : C2",8
512,8840080,"(((C4 : C4) : Q8) : C2) : C2",8
512,8840081,"((((C2 x ((C4 x C2) : C2)) : C2) : C2) : C2) : C2",8
512,8841562,"((((C2 x ((C4 x C2) : C2)) : C2) : C2) : C2) : C2",8
512,8841573,"((((C2 x ((C4 x C2) : C2)) : C2) : C2) : C2) : C2",8
512,8841813,"(((C4 : C4) : Q8) : C2) : C2",8
512,8841816,"(((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2) : C2) : C2",8
512,8841960,"(((C2 x (C4 : Q8)) : C2) : C2) : C2",8
512,10482003,"C2 x C2 x C2 x (((C4 x C4) : C2) : C2)",16
512,10482012,"C2 x C2 x ((C2 x (C8 : (C2 x C2))) : C2)",16
512,10482026,"C2 x ((C2 x (((C4 x C4) : C2) : C2)) : C2)",4
512,10482032,"C2 x ((((C8 : (C2 x C2)) : C2) : C2) : C2)",4
512,10482043,"(C2 x ((C2 x (C8 : (C2 x C2))) : C2)) : C2",4
512,10482048,"(((C2 x (C8 : (C2 x C2))) : C2) : C2) : C2",4
512,10482056,"C2 x C2 x C2 x (((C2 x Q8) : C2) : C2)",16
512,10482060,"C2 x C2 x ((C2 x ((C2 x Q8) : C2)) : C2)",16
512,10482065,"C2 x C2 x C2 x (((C2 x C2 x C2 x C2) : C2) : C2)",16
512,10482067,"C2 x ((C2 x (((C2 x C2 x C2 x C2) : C2) : C2)) : C2)",4
512,10482078,"C2 x (((((C2 x C2 x C2 x C2) : C2) : C2) : C2) : C2)",4
512,10482444,"C2 x (((C2 x ((C8 x C2) : C2)) : C2) : C2)",8
512,10482446,"C2 x (((C2 x ((C8 x C2) : C2)) : C2) : C2)",8
512,10482456,"C2 x C2 x C2 x (((C4 x C4) : C2) : C2)",32
512,10482458,"C2 x C2 x C2 x (C4 : Q16)",32
512,10482473,"C2 x (((C8 : Q8) : C2) : C2)",8
512,10482482,"C2 x C2 x C2 x (C8 : Q8)",32
512,10483221,"C2 x C2 x D8 x D16",16
512,10483223,"C2 x C2 x D8 x Q16",16
512,10483255,"C2 x (((C2 x C2 x D16) : C2) : C2)",8
512,10483257,"C2 x (((C2 x C2 x Q16) : C2) : C2)",8
512,10483292,"C2 x (((C2 x (C8 : (C2 x C2))) : C2) : C2)",8
512,10483294,"C2 x (((C2 x ((C2 x Q8) : C2)) : C2) : C2)",8
512,10483334,"D8 x ((C2 x D16) : C2)",4
512,10483336,"D8 x ((C2 x Q16) : C2)",4
512,10483363,"C2 x C2 x (((C8 : (C2 x C2)) : C2) : C2)",8
512,10483364,"C2 x C2 x ((((C2 x Q8) : C2) : C2) : C2)",8
512,10483380,"(C2 x (((C8 : (C2 x C2)) : C2) : C2)) : C2",2
512,10483381,"(C2 x ((((C2 x Q8) : C2) : C2) : C2)) : C2",2
512,10483390,"C2 x C2 x Q8 x D16",16
512,10483395,"C2 x C2 x Q8 x Q16",16
512,10483402,"C2 x (((C2 x (C4 : Q8)) : C2) : C2)",8
512,10483442,"Q8 x ((C2 x D16) : C2)",4
512,10483447,"Q8 x ((C2 x Q16) : C2)",4
512,10484429,"C2 x (((((C4 x C2 x C2) : C2) : C2) : C2) : C2)",8
512,10484432,"C2 x ((((C2 x Q16) : C2) : C2) : C2)",8
512,10484461,"C2 x (((((C4 x C2 x C2) : C2) : C2) : C2) : C2)",8
512,10484464,"C2 x (((((C2 x Q8) : C2) : C2) : C2) : C2)",8
512,10484641,"(C2 x D8 x D16) : C2",4
512,10484644,"(C2 x D8 x Q16) : C2",4
512,10485463,"C2 x (((C4 x D16) : C2) : C2)",8
512,10485550,"(((C2 x ((C8 x C2) : C2)) : C2) : C2) : C2",4
512,10485553,"(((C2 x ((C8 x C2) : C2)) : C2) : C2) : C2",4
512,10486362,"C2 x (((((C4 x C4) : C2) : C2) : C2) : C2)",8
512,10486363,"C2 x (((C4 : Q16) : C2) : C2)",8
512,10486439,"(((C2 x C2 x D16) : C2) : C2) : C2",4
512,10486440,"(((C2 x C2 x Q16) : C2) : C2) : C2",4
512,10486967,"C2 x (((C8 : Q8) : C2) : C2)",8
512,10486968,"C2 x (((C8 : Q8) : C2) : C2)",8
512,10487044,"(((C2 x (C8 : C4)) : C2) : C2) : C2",4
512,10490209,"((C2 x C2 x C2) : (C2 x C2)) x D16",4
512,10490211,"((C2 x C2 x C2) : (C2 x C2)) x Q16",4
512,10490394,"(C2 x D8 x D16) : C2",4
512,10490396,"(C2 x D8 x Q16) : C2",4
512,10490673,"(((C2 x ((C8 x C2) : C2)) : C2) : C2) : C2",4
512,10490674,"(((C2 x ((C8 x C2) : C2)) : C2) : C2) : C2",4
512,10491871,"((C2 x Q8) : C2) x D16",4
512,10491899,"((D8 x D16) : C2) : C2",4
512,10492177,"(((C2 x ((C8 x C2) : C2)) : C2) : C2) : C2",4
512,10492183,"((C2 x Q8) : C2) x Q16",4
512,10493045,"C2 x C2 x C2 x C2 x D32",32
512,10493049,"C2 x C2 x ((C2 x D32) : C2)",8
512,10493051,"C2 x C2 x ((((C8 x C2) : C2) : C2) : C2)",8
512,10493056,"(C2 x ((C2 x D32) : C2)) : C2",2
512,10493058,"(((C2 x D32) : C2) : C2) : C2",2
512,10493061,"C2 x C2 x C2 x C2 x Q32",32
512,10493082,"C2 x C2 x C2 x C2 x ((C2 x C2 x C2 x C2) : C2)",64
512,10493091,"C2 x C2 x C2 x C2 x ((C4 x C4) : C2)",64
512,10493092,"C2 x C2 x C2 x C2 x (C4 : Q8)",64
512,10493114,"C2 x C2 x C2 x D8 x D8",32
512,10493115,"C2 x C2 x C2 x Q8 x D8",32
512,10493131,"C2 x C2 x C2 x Q8 x Q8",32
512,10493137,"C2 x C2 x ((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2)",16
512,10493156,"C2 x C2 x ((((C2 x C2 x C2 x C2) : C2) : C2) : C2)",16
512,10493169,"C2 x C2 x ((((C4 x C4) : C2) : C2) : C2)",16
512,10493170,"C2 x C2 x (((C4 : Q8) : C2) : C2)",16
512,10493176,"C2 x C2 x (((C4 : Q8) : C2) : C2)",16
512,10493220,"C2 x (D8 x ((C2 x C2 x C2) : (C2 x C2)))",8
512,10493221,"C2 x (Q8 x ((C2 x C2 x C2) : (C2 x C2)))",8
512,10493237,"C2 x (D8 x ((C2 x Q8) : C2))",8
512,10493238,"C2 x (Q8 x ((C2 x Q8) : C2))",8
512,10493262,"(C2 x ((C2 x ((C2 x C2 x C2 x C2) : C2)) : C2)) : C2",4
512,10493279,"(C2 x ((((C2 x C2 x C2 x C2) : C2) : C2) : C2)) : C2",4
512,10493293,"((C2 x (((C4 x C4) : C2) : C2)) : C2) : C2",4
512,10493294,"((C2 x ((C4 : Q8) : C2)) : C2) : C2",4
512,10493299,"((C2 x ((C4 : Q8) : C2)) : C2) : C2",4
512,10493360,"C2 x (((D8 x D8) : C2) : C2)",8
512,10493377,"C2 x (((((C2 x C2 x C2 x C2) : C2) : C2) : C2) : C2)",8
512,10493378,"C2 x (((((C4 x C2 x C2) : C2) : C2) : C2) : C2)",8
512,10493526,"C2 x ((C2 x D8 x D8) : C2)",8
512,10493531,"C2 x ((C2 x Q8 x D8) : C2)",8
512,10493555,"C2 x ((C2 x Q8 x Q8) : C2)",8
512,10493560,"C2 x ((((C4 x D8) : C2) : C2) : C2)",8
512,10493668,"(C2 x ((D8 x D8) : C2)) : C2",4
512,10493669,"(C2 x ((((C4 x C2 x C2) : C2) : C2) : C2)) : C2",4
512,10493714,"(((((C4 x C2 x C2) : C2) : C2) : C2) : C2) : C2",4
512,10493750,"(C2 x ((D8 x D8) : C2)) : C2",4
512,10493751,"(C2 x ((((C4 x C2 x C2) : C2) : C2) : C2)) : C2",4
512,10493754,"(C2 x ((((C2 x Q8) : C2) : C2) : C2)) : C2",4
512,10494181,"C2 x C2 x C2 x C2 x C2 x D16",64
512,10494185,"C2 x C2 x C2 x ((C2 x D16) : C2)",16
512,10494187,"C2 x C2 x C2 x (((C8 x C2) : C2) : C2)",16
512,10494192,"C2 x ((C2 x ((C2 x D16) : C2)) : C2)",4
512,10494194,"C2 x ((((C2 x D16) : C2) : C2) : C2)",4
512,10494200,"C2 x C2 x C2 x C2 x C2 x Q16",64
512,10494202,"C2 x C2 x C2 x C2 x C2 x C2 x D8",128
512,10494203,"C2 x C2 x C2 x C2 x C2 x C2 x Q8",128
512,10494205,"C2 x C2 x C2 x C2 x ((C2 x C2 x C2) : (C2 x C2))",32
512,10494206,"C2 x C2 x C2 x C2 x ((C2 x Q8) : C2)",32
512,10494208,"C2 x C2 x ((C2 x ((C2 x C2 x C2) : (C2 x C2))) : C2)",8
512,10494209,"C2 x C2 x ((C2 x ((C2 x Q8) : C2)) : C2)",8
512,10494211,"(C2 x ((C2 x ((C2 x C2 x C2) : (C2 x C2))) : C2)) : C2",2
512,10494212,"(C2 x ((C2 x ((C2 x Q8) : C2)) : C2)) : C2",2
512,10494213,"C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2",512
